Codigo;Local;HM;HM-15:19;HM-20:24;HM-25:29;HM-30:34;HM-35:39;HM-40:44;HM-45:49;HM-50:54;HM-55:59;HM-60:64;HM-65+;H;H-15:19;H-20:24;H-25:29;H-30:34;H-35:39;H-40:44;H-45:49;H-50:54;H-55:59;H-60:64;H-65+;M;M-15:19;M-20:24;M-25:29;M-30:34;M-35:39;M-40:44;M-45:49;M-50:54;M-55:59;M-60:64;M-65+
11E;Terras de Trás-os-Montes;9215;439;1376;1339;1183;953;917;990;872;731;415;0;4501;237;612;626;505;466;431;467;460;436;261;0;4714;202;764;713;678;487;486;523;412;295;154;0
0401;Alfândega da Fé;253;12;33;23;24;22;31;31;34;25;18;0;96;6;8;8;9;7;12;14;11;13;8;0;157;6;25;15;15;15;19;17;23;12;10;0
0402;Bragança;1525;58;224;235;207;187;157;140;139;107;71;0;783;38;101;110;89;99;81;64;84;68;49;0;742;20;123;125;118;88;76;76;55;39;22;0
0405;Macedo de Cavaleiros;603;21;106;109;82;50;48;55;49;53;30;0;260;7;37;39;25;23;20;30;27;33;19;0;343;14;69;70;57;27;28;25;22;20;11;0
0406;Miranda do Douro;271;14;34;47;34;29;33;27;21;21;11;0;107;5;16;24;14;10;8;12;4;10;4;0;164;9;18;23;20;19;25;15;17;11;7;0
0407;Mirandela;1181;44;159;185;175;123;109;115;124;91;56;0;575;24;71;88;82;55;56;52;62;49;36;0;606;20;88;97;93;68;53;63;62;42;20;0
0408;Mogadouro;409;17;61;60;55;44;38;44;39;32;19;0;194;8;29;31;30;19;17;17;17;18;8;0;215;9;32;29;25;25;21;27;22;14;11;0
0411;Vimioso;160;8;21;21;26;10;15;19;17;18;5;0;68;4;10;7;9;3;7;10;6;10;2;0;92;4;11;14;17;7;8;9;11;8;3;0
0412;Vinhais;309;10;48;50;34;27;29;36;37;24;14;0;160;5;23;17;19;14;15;18;20;19;10;0;149;5;25;33;15;13;14;18;17;5;4;0
1702;Boticas;181;8;28;27;16;17;24;20;19;16;6;0;96;4;9;15;8;11;14;16;9;9;1;0;85;4;19;12;8;6;10;4;10;7;5;0
1703;Chaves;2368;111;349;327;311;260;249;262;216;181;102;0;1214;66;178;164;137;135;116;113;129;107;69;0;1154;45;171;163;174;125;133;149;87;74;33;0
1706;Montalegre;387;31;63;59;37;33;29;58;30;29;18;0;197;19;26;27;16;16;13;30;20;19;11;0;190;12;37;32;21;17;16;28;10;10;7;0
1707;Murça;256;21;38;29;33;27;24;27;25;18;14;0;131;14;16;13;16;13;10;15;14;11;9;0;125;7;22;16;17;14;14;12;11;7;5;0
1712;Valpaços;643;42;114;84;72;68;61;75;46;56;25;0;286;17;46;41;24;32;24;37;19;29;17;0;357;25;68;43;48;36;37;38;27;27;8;0
1713;Vila Pouca de Aguiar;669;42;98;83;77;56;70;81;76;60;26;0;334;20;42;42;27;29;38;39;38;41;18;0;335;22;56;41;50;27;32;42;38;19;8;0
