Local;HM;HM-0:4;HM-15:24;HM-25:64;HM-65+;H;H-0:14;H-15:24;H-25:64;H-65+;M;M-0:14;M-15:24;M-25:64;M-65+
1416:Santarém;58662;7522;6067;29675;15398;27713;3810;3220;14295;6388;30949;3712;2847;15380;9010
186:Alto Alentejo;104923;12376;9851;51318;31378;49827;6256;4970;25210;13391;55096;6120;4881;26108;17987
1201:Alter do Chão;3044;336;259;1361;1088;1390;160;120;659;451;1654;176;139;702;637
1202:Arronches;2789;298;237;1375;879;1379;155;133;719;372;1410;143;104;656;507
1203:Avis;3812;428;330;1804;1250;1791;210;148;901;532;2021;218;182;903;718
1204:Campo Maior;8042;1182;897;4036;1927;3876;597;467;1982;830;4166;585;430;2054;1097
1205:Castelo de Vide;3116;295;246;1463;1112;1496;162;134;707;493;1620;133;112;756;619
1206:Crato;3225;288;234;1414;1289;1485;139;127;702;517;1740;149;107;712;772
1207:Elvas;20730;2892;2168;10616;5054;9873;1490;1094;5119;2170;10857;1402;1074;5497;2884
1208:Fronteira;2858;298;245;1358;957;1356;161;130;671;394;1502;137;115;687;563
1209:Gavião;3394;265;234;1467;1428;1581;142;119;734;586;1813;123;115;733;842
1210:Marvão;3021;288;226;1433;1074;1442;130;117;710;485;1579;158;109;723;589
1211:Monforte;2992;414;324;1393;861;1408;211;149;678;370;1584;203;175;715;491
1212:Nisa;5952;455;471;2601;2425;2804;226;230;1334;1014;3148;229;241;1267;1411
1213:Ponte de Sor;15248;1718;1383;7684;4463;7327;870;696;3851;1910;7921;848;687;3833;2553
1214:Portalegre;22340;2733;2205;11274;6128;10592;1359;1101;5452;2680;11748;1374;1104;5822;3448
1215:Sousel;4360;486;392;2039;1443;2027;244;205;991;587;2333;242;187;1048;856
187:Alentejo Central;152444;18482;14812;77747;41403;73202;9578;7705;38210;17709;79242;8904;7107;39537;23694
0701:Alandroal;5014;510;397;2499;1608;2432;243;209;1293;687;2582;267;188;1206;921
0702:Arraiolos;6606;736;607;3360;1903;3231;385;313;1709;824;3375;351;294;1651;1079
0703:Borba;6428;750;552;3260;1866;3149;364;291;1643;851;3279;386;261;1617;1015
0704:Estremoz;12680;1448;1136;6413;3683;6019;732;594;3132;1561;6661;716;542;3281;2122
0705:Évora;53577;7084;5616;28248;12629;25445;3737;2908;13477;5323;28132;3347;2708;14771;7306
0706:Montemor-o-Novo;15799;1818;1411;7791;4779;7593;936;707;3877;2073;8206;882;704;3914;2706
0707:Mora;4135;368;317;1847;1603;1974;190;171;909;704;2161;178;146;938;899
0708:Mourão;2351;321;238;1134;658;1188;167;132;592;297;1163;154;106;542;361
0709:Portel;5747;666;556;2868;1657;2811;349;305;1458;699;2936;317;251;1410;958
0710:Redondo;6286;708;608;3236;1734;3076;359;319;1649;749;3210;349;289;1587;985
0711:Reguengos de Monsaraz;9871;1215;980;5049;2627;4778;633;528;2519;1098;5093;582;452;2530;1529
0712:Vendas Novas;11245;1366;1152;5407;3320;5406;715;605;2659;1427;5839;651;547;2748;1893
0713:Viana do Alentejo;5318;684;536;2708;1390;2536;340;278;1337;581;2782;344;258;1371;809
0714:Vila Viçosa;7387;808;706;3927;1946;3564;428;345;1956;835;3823;380;361;1971;1111
15:Algarve;467343;62781;45829;247784;110949;226775;32178;23703;119971;50923;240568;30603;22126;127813;60026
150:Algarve;467343;62781;45829;247784;110949;226775;32178;23703;119971;50923;240568;30603;22126;127813;60026
0801:Albufeira;44164;6101;4639;25407;8017;21625;3163;2456;12273;3733;22539;2938;2183;13134;4284
0802:Alcoutim;2523;158;168;998;1199;1236;83;89;525;539;1287;75;79;473;660
0803:Aljezur;6045;774;481;3164;1626;3019;401;253;1603;762;3026;373;228;1561;864
0804:Castro Marim;6439;705;545;3096;2093;3163;342;269;1543;1009;3276;363;276;1553;1084
0805:Faro;67622;9193;7024;36569;14836;32139;4668;3580;17465;6426;35483;4525;3444;19104;8410
0806:Lagoa;23725;3220;2477;12475;5553;11606;1671;1263;6070;2602;12119;1549;1214;6405;2951
0807:Lagos;33494;4297;3278;17630;8289;16267;2211;1704;8477;3875;17227;2086;1574;9153;4414
0808:Loulé;72332;9774;7044;38604;16910;34976;4981;3611;18566;7818;37356;4793;3433;20038;9092
0809:Monchique;5462;550;405;2668;1839;2738;287;197;1360;894;2724;263;208;1308;945
0810:Olhão;44614;6382;4554;23447;10231;21820;3362;2340;11461;4657;22794;3020;2214;11986;5574
0811:Portimão;59845;8567;6038;31809;13431;28738;4368;3160;15178;6032;31107;4199;2878;16631;7399
0812:São Brás de Alportel;11248;1503;1030;5789;2926;5426;779;550;2782;1315;5822;724;480;3007;1611
0813:Silves;37766;5107;3430;19793;9436;18587;2610;1791;9783;4403;19179;2497;1639;10010;5033
0814:Tavira;27523;3199;2389;13871;8064;13579;1633;1253;6865;3828;13944;1566;1136;7006;4236
0815:Vila do Bispo;5717;729;452;2958;1578;2792;362;221;1471;738;2925;367;231;1487;840
0816:Vila Real de Santo António;18824;2522;1875;9506;4921;9064;1257;966;4549;2292;9760;1265;909;4957;2629
2:Região Autónoma dos Açores;236413;34553;28239;134512;39109;115480;17743;14451;66656;16630;120933;16810;13788;67856;22479
20:Região Autónoma dos Açores;236413;34553;28239;134512;39109;115480;17743;14451;66656;16630;120933;16810;13788;67856;22479
200:Região Autónoma dos Açores;236413;34553;28239;134512;39109;115480;17743;14451;66656;16630;120933;16810;13788;67856;22479
4301:Angra do Heroísmo;33771;4494;3762;19004;6511;16367;2267;1892;9449;2759;17404;2227;1870;9555;3752
4501:Calheta;3437;427;344;1853;813;1707;230;180;934;363;1730;197;164;919;450
4901:Corvo;384;49;45;231;59;205;26;29;122;28;179;23;16;109;31
4701:Horta;14331;1929;1518;8027;2857;6989;1013;799;3949;1228;7342;916;719;4078;1629
4201:Lagoa;14189;2345;1927;8097;1820;6976;1229;957;4006;784;7213;1116;970;4091;1036
4801:Lajes das Flores;1408;157;153;806;292;730;87;78;432;133;678;70;75;374;159
4601:Lajes do Pico;4340;534;416;2311;1079;2126;287;206;1171;462;2214;247;210;1140;617
4602:Madalena;6319;883;653;3521;1262;3079;449;326;1774;530;3240;434;327;1747;732
4202:Nordeste;4368;576;515;2353;924;2154;300;259;1190;405;2214;276;256;1163;519
4203:Ponta Delgada;67229;9630;8280;39217;10102;32385;4915;4209;19093;4168;34844;4715;4071;20124;5934
4204:Povoação;5791;777;724;3289;1001;2850;401;364;1655;430;2941;376;360;1634;571
4205:Ribeira Grande;31388;5905;4465;17677;3341;15605;2989;2343;8859;1414;15783;2916;2122;8818;1927
4401:Santa Cruz da Graciosa;4090;591;424;2185;890;2020;317;219;1094;390;2070;274;205;1091;500
4802:Santa Cruz das Flores;2020;278;187;1168;387;1010;145;86;612;167;1010;133;101;556;220
4603:São Roque do Pico;3220;425;272;1839;684;1571;211;144;918;298;1649;214;128;921;386
4502:Velas;4936;618;482;2805;1031;2443;345;243;1403;452;2493;273;239;1402;579
4302:Vila da Praia da Vitória;19463;2632;2133;11126;3572;9496;1338;1116;5499;1543;9967;1294;1017;5627;2029
4101:Vila do Porto;5406;772;619;3070;945;2590;385;309;1530;366;2816;387;310;1540;579
4206:Vila Franca do Campo;10323;1531;1320;5933;1539;5177;809;692;2966;710;5146;722;628;2967;829
3:Região Autónoma da Madeira;250744;31938;28189;140557;50060;117685;16334;14399;67536;19416;133059;15604;13790;73021;30644
30:Região Autónoma da Madeira;250744;31938;28189;140557;50060;117685;16334;14399;67536;19416;133059;15604;13790;73021;30644
300:Região Autónoma da Madeira;250744;31938;28189;140557;50060;117685;16334;14399;67536;19416;133059;15604;13790;73021;30644
3101:Calheta;10915;1279;1142;5726;2768;5010;659;610;2740;1001;5905;620;532;2986;1767
3102:Câmara de Lobos;32162;4844;4354;18115;4849;15388;2457;2227;8869;1835;16774;2387;2127;9246;3014
3103:Funchal;105782;12647;11125;59147;22863;49145;6472;5706;27987;8980;56637;6175;5419;31160;13883
3104:Machico;19593;2216;2292;11064;4021;9478;1155;1195;5540;1588;10115;1061;1097;5524;2433
3105:Ponta do Sol;8360;1040;1030;4474;1816;3859;525;519;2122;693;4501;515;511;2352;1123
3106:Porto Moniz;2517;234;259;1278;746;1121;133;116;626;246;1396;101;143;652;500
3201:Porto Santo;5149;582;547;3051;969;2536;290;293;1523;430;2613;292;254;1528;539
3107:Ribeira Brava;12680;1612;1582;6848;2638;5767;821;783;3229;934;6913;791;799;3619;1704
3108:Santa Cruz;42168;6314;4710;24955;6189;20152;3203;2374;12022;2553;22016;3111;2336;12933;3636
3109:Santana;6553;652;657;3374;1870;2973;345;323;1649;656;3580;307;334;1725;1214
3110:São Vicente;4865;518;491;2525;1331;2256;274;253;1229;500;2609;244;238;1296;831
