Local;HM;HM-0:4;HM-15:24;HM-25:64;HM-65+;H;H-0:14;H-15:24;H-25:64;H-65+;M;M-0:14;M-15:24;M-25:64;M-65+
1302:Baião;17534;1949;1999;9558;4028;8341;1031;1005;4601;1704;9193;918;994;4957;2324
0106:Castelo de Paiva;15586;1829;1906;8600;3251;7544;920;962;4261;1401;8042;909;944;4339;1850
0305:Celorico de Basto;17643;2103;1970;9353;4217;8421;1058;1018;4606;1739;9222;1045;952;4747;2478
1804:Cinfães;17730;2015;1911;9304;4500;8613;1079;984;4578;1972;9117;936;927;4726;2528
1303:Felgueiras;55848;7077;6814;31906;10051;26964;3604;3538;15420;4402;28884;3473;3276;16486;5649
1305:Lousada;47364;6601;6081;27397;7285;22890;3400;3101;13169;3220;24474;3201;2980;14228;4065
1307:Marco de Canaveses;49541;6435;6276;27816;9014;23771;3302;3194;13376;3899;25770;3133;3082;14440;5115
1309:Paços de Ferreira;55595;7471;7087;31990;9047;27384;3881;3603;15862;4038;28211;3590;3484;16128;5009
1311:Penafiel;69629;9357;8547;39331;12394;33478;4768;4390;18872;5448;36151;4589;4157;20459;6946
1813:Resende;10051;1110;1052;5332;2557;4898;598;539;2660;1101;5153;512;513;2672;1456
11D:Douro;183875;19252;17815;93973;52835;87368;9802;9107;45674;22785;96507;9450;8708;48299;30050
1701:Alijó;10486;957;915;5160;3454;5116;475;481;2622;1538;5370;482;434;2538;1916
1801:Armamar;5678;547;538;2846;1747;2670;276;277;1393;724;3008;271;261;1453;1023
0403:Carrazeda de Ansiães;5490;490;418;2536;2046;2633;232;212;1302;887;2857;258;206;1234;1159
0404:Freixo de Espada à Cinta;3216;322;247;1447;1200;1532;158;128;733;513;1684;164;119;714;687
1805:Lamego;24312;2544;2531;12891;6346;11493;1292;1279;6238;2684;12819;1252;1252;6653;3662
1704:Mesão Frio;3547;326;354;1844;1023;1655;167;183;886;419;1892;159;171;958;604
1807:Moimenta da Beira;9410;1067;937;4638;2768;4489;556;473;2250;1210;4921;511;464;2388;1558
1707:Murça;5245;447;433;2493;1872;2531;232;245;1233;821;2714;215;188;1260;1051
1812:Penedono;2738;232;268;1294;944;1292;119;141;644;388;1446;113;127;650;556
1708:Peso da Régua;14540;1550;1466;7669;3855;6833;790;736;3689;1618;7707;760;730;3980;2237
1710:Sabrosa;5548;546;499;2693;1810;2661;262;244;1342;813;2887;284;255;1351;997
1711:Santa Marta de Penaguião;6100;544;577;3029;1950;2898;274;316;1466;842;3202;270;261;1563;1108
1815:São João da Pesqueira;6775;712;681;3489;1893;3321;374;360;1752;835;3454;338;321;1737;1058
1818:Sernancelhe;5692;525;536;2808;1823;2750;259;268;1407;816;2942;266;268;1401;1007
1819:Tabuaço;5034;459;466;2515;1594;2375;236;226;1219;694;2659;223;240;1296;900
1820:Tarouca;7363;916;793;3847;1807;3527;461;405;1861;800;3836;455;388;1986;1007
0409:Torre de Moncorvo;6826;541;474;3034;2777;3224;280;242;1509;1193;3602;261;232;1525;1584
0914:Vila Nova de Foz Côa;6304;555;502;2986;2261;2992;262;255;1518;957;3312;293;247;1468;1304
1714:Vila Real;49571;5972;5180;26754;11665;23376;3097;2636;12610;5033;26195;2875;2544;14144;6632
11E:Terras de Trás-os-Montes;107272;10100;9542;51370;36260;51376;5155;4821;25139;16261;55896;4945;4721;26231;19999
0401:Alfândega da Fé;4324;353;326;2007;1638;2089;177;156;993;763;2235;176;170;1014;875
0402:Bragança;34582;3744;3677;17413;9748;16514;1910;1880;8382;4342;18068;1834;1797;9031;5406
0405:Macedo de Cavaleiros;14251;1286;1256;6768;4941;6773;654;613;3316;2190;7478;632;643;3452;2751
0406:Miranda do Douro;6463;561;486;2907;2509;3133;293;257;1454;1129;3330;268;229;1453;1380
0407:Mirandela;21384;2159;1969;10387;6869;10123;1090;966;5005;3062;11261;1069;1003;5382;3807
0408:Mogadouro;8301;667;562;3930;3142;4011;323;284;2004;1400;4290;344;278;1926;1742
0410:Vila Flor;6050;536;524;2846;2144;2920;293;277;1393;957;3130;243;247;1453;1187
0411:Vimioso;4149;296;287;1747;1819;2011;151;142;887;831;2138;145;145;860;988
0412:Vinhais;7768;498;455;3365;3450;3802;264;246;1705;1587;3966;234;209;1660;1863
16:Centro;2227239;263399;220555;1141105;602180;1060611;134949;113216;552380;260066;1166628;128450;107339;588725;342114
16B:Oeste;363511;47629;38197;189355;88330;174960;24295;19806;91951;38908;188551;23334;18391;97404;49422
1001:Alcobaça;54965;6436;5778;28484;14267;26493;3232;3047;13951;6263;28472;3204;2731;14533;8004
1101:Alenquer;44442;6663;4958;23833;8988;21578;3421;2595;11627;3935;22864;3242;2363;12206;5053
1102:Arruda dos Vinhos;13992;2293;1647;7338;2714;6835;1180;892;3592;1171;7157;1113;755;3746;1543
1005:Bombarral;12746;1575;1221;6445;3505;6112;839;597;3121;1555;6634;736;624;3324;1950
1104:Cadaval;13372;1535;1308;6500;4029;6417;782;676;3173;1786;6955;753;632;3327;2243
1006:Caldas da Rainha;50910;6166;5355;26298;13091;23998;3131;2730;12443;5694;26912;3035;2625;13855;7397
1108:Lourinhã;26240;3516;2650;13404;6670;12691;1826;1363;6482;3020;13549;1690;1287;6922;3650
1011:Nazaré;14881;1864;1414;7703;3900;7085;906;739;3737;1703;7796;958;675;3966;2197
1012:Óbidos;11922;1467;1157;6110;3188;5829;739;632;2998;1460;6093;728;525;3112;1728
1014:Peniche;26429;3525;2624;13390;6890;12689;1835;1363;6465;3026;13740;1690;1261;6925;3864
1112:Sobral de Monte Agraço;10540;1593;1163;5615;2169;5075;813;588;2737;937;5465;780;575;2878;1232
1113:Torres Vedras;83072;10996;8922;44235;18919;40158;5591;4584;21625;8358;42914;5405;4338;22610;10561
16D:Região de Aveiro;367403;46387;37825;197106;86085;175800;23846;19217;95109;37628;191603;22541;18608;101997;48457
0101:Águeda;46119;5556;4532;24173;11858;22125;2875;2260;11697;5293;23994;2681;2272;12476;6565
0102:Albergaria-a-Velha;24840;3191;2628;13355;5666;12069;1630;1356;6540;2543;12771;1561;1272;6815;3123
0103:Anadia;27532;2961;2599;13860;8112;13151;1565;1332;6725;3529;14381;1396;1267;7135;4583
0105:Aveiro;80954;10491;8409;45042;17012;38442;5418;4197;21465;7362;42512;5073;4212;23577;9650
0108:Estarreja;26213;3295;2709;13815;6394;12690;1715;1393;6831;2751;13523;1580;1316;6984;3643
0110:Ílhavo;39235;5277;4046;21467;8445;18635;2663;2069;10224;3679;20600;2614;1977;11243;4766
0112:Murtosa;10476;1403;1075;5415;2583;5047;715;555;2666;1111;5429;688;520;2749;1472
0114:Oliveira do Bairro;23132;3221;2411;12052;5448;10973;1648;1213;5765;2347;12159;1573;1198;6287;3101
0115:Ovar;54953;6812;5980;30361;11800;26331;3482;3060;14633;5156;28622;3330;2920;15728;6644
0117:Sever do Vouga;11063;1124;1101;5579;3259;5347;573;599;2747;1428;5716;551;502;2832;1831
0118:Vagos;22886;3056;2335;11987;5508;10990;1562;1183;5816;2429;11896;1494;1152;6171;3079
16E:Região de Coimbra;436862;49646;41489;224623;121104;205988;25527;21108;107865;51488;230874;24119;20381;116758;69616
0601:Arganil;11065;1115;879;5389;3682;5290;558;439;2685;1608;5775;557;440;2704;2074
0602:Cantanhede;34212;3874;3176;16792;10370;16148;2024;1609;8049;4466;18064;1850;1567;8743;5904
0603:Coimbra;140816;16520;13885;74877;35534;65451;8458;6888;35346;14759;75365;8062;6997;39531;20775
0604:Condeixa-a-Nova;16732;2283;1684;8952;3813;7814;1170;880;4202;1562;8918;1113;804;4750;2251
0605:Figueira da Foz;58951;6590;5619;30071;16671;27883;3419;2879;14370;7215;31068;3171;2740;15701;9456
0606:Góis;3811;316;314;1743;1438;1768;143;170;856;599;2043;173;144;887;839
0607:Lousã;17006;2257;1773;9088;3888;8196;1188;930;4364;1714;8810;1069;843;4724;2174
0111:Mealhada;19348;2221;1905;10194;5028;9255;1153;1016;4949;2137;10093;1068;889;5245;2891
0608:Mira;12113;1398;1056;5930;3729;5756;725;575;2870;1586;6357;673;481;3060;2143
0609:Miranda do Corvo;12002;1288;1246;6236;3232;5756;652;648;3068;1388;6246;636;598;3168;1844
0610:Montemor-o-Velho;24571;3007;2199;12967;6398;11797;1565;1134;6333;2765;12774;1442;1065;6634;3633
1808:Mortágua;8963;848;704;4274;3137;4259;416;362;2103;1378;4704;432;342;2171;1759
0611:Oliveira do Hospital;19413;2114;1917;9874;5508;9300;1108;1005;4809;2378;10113;1006;912;5065;3130
0612:Pampilhosa da Serra;4082;270;222;1718;1872;1903;137;112;875;779;2179;133;110;843;1093
0613:Penacova;13113;1218;1204;6482;4209;6167;625;584;3194;1764;6946;593;620;3288;2445
0614:Penela;5440;568;454;2679;1739;2597;277;240;1345;735;2843;291;214;1334;1004
0615:Soure;17261;1761;1495;8227;5778;8167;917;788;4014;2448;9094;844;707;4213;3330
0616:Tábua;11160;1243;1060;5534;3323;5286;629;491;2717;1449;5874;614;569;2817;1874
0617:Vila Nova de Poiares;6803;755;697;3596;1755;3195;363;358;1716;758;3608;392;339;1880;997
16F:Região de Leiria;286752;35729;29684;149253;72086;137668;18376;15266;72474;31552;149084;17353;14418;76779;40534
1002:Alvaiázere;6238;556;518;2852;2312;2908;292;261;1403;952;3330;264;257;1449;1360
1003:Ansião;11642;1174;1111;5584;3773;5523;599;576;2749;1599;6119;575;535;2835;2174
1004:Batalha;15557;2193;1623;8163;3578;7533;1133;815;3940;1645;8024;1060;808;4223;1933
1007:Castanheira de Pêra;2645;200;222;1210;1013;1247;101;123;590;433;1398;99;99;620;580
1008:Figueiró dos Vinhos;5281;488;400;2535;1858;2504;268;215;1239;782;2777;220;185;1296;1076
1009:Leiria;128603;16977;13832;69159;28635;61858;8742;7162;33382;12572;66745;8235;6670;35777;16063
1010:Marinha Grande;39024;5051;4068;20813;9092;18841;2538;2078;10118;4107;20183;2513;1990;10695;4985
1013:Pedrógão Grande;3390;269;297;1620;1204;1611;140;152;809;510;1779;129;145;811;694
1015:Pombal;51170;5945;5087;25311;14827;24371;3080;2550;12304;6437;26799;2865;2537;13007;8390
