Origem:Codigo:Nome
11:111:Alto Minho
111:1601:Arcos de Valdevez
111:1602:Caminha
111:1603:Melgaço
111:1604:Monção
111:1605:Paredes de Coura
111:1606:Ponte da Barca
111:1607:Ponte de Lima
111:1608:Valença
111:1609:Viana do Castelo
111:1610:Vila Nova de Cerveira
11:112:Cávado
112:0301:Amares
112:0302:Barcelos
112:0303:Braga
112:0306:Esposende
112:0310:Terras de Bouro
112:0313:Vila Verde
11:113:Ave
113:0307:Fafe
113:0308:Guimarães
113:0309:Póvoa de Lanhoso
113:0311:Vieira do Minho
113:0312:Vila Nova de Famalicão
113:0314:Vizela
11:114:Grande Porto
114:0107:Espinho
114:1304:Gondomar
114:1306:Maia
114:1308:Matosinhos
114:1312:Porto
114:1313:Póvoa de Varzim
114:1315:Valongo
114:41314:Santo Tirso
114:1318:Trofa
114:1316:Vila do Conde
114:1317:Vila Nova de Gaia
11:115:Tâmega
115:0106:Castelo de Paiva
115:0304:Cabeceiras de Basto
115:0305:Celorico de Basto
115:1301:Amarante
115:1302:Baião
115:1303:Felgueiras
115:1305:Lousada
115:1307:Marco de Canaveses
115:1309:Paços de Ferreira
115:1310:Paredes
115:1311:Penafiel
115:1705:Mondim de Basto
115:1709:Ribeira de Pena
115:1804:Cinfaes
115:1813:Resende
11:116:Entre Douro e Vouga
116:0104:Arouca
116:0109:Santa Maria da Feira
116:0113:Oliveria de Azeméis
116:0116:São João da Madeira
116:0119:Vale de Cambra
11:117:Douro
117:0403:Carrazeda de Ansiães
117:0404:Freixo de Espada à Cinta
117:0409:Torre de Moncorvo
117:0410:Vila Flor
117:0414:Vila Nova de Foz Côa
117:1701:Alijó
117:1704:Mesão Frio
117:1708:Peso da Régua
117:1710:Sabrosa
117:1711:Santa Marta de Penaguião
117:1714:Vila Real
117:1801:Armamar
117:1805:Lamego
117:1807:Moimenta da Beira
117:1812:Penedono
117:1815:São João da Pesqueira
117:1818:Sernancelhe
117:1819:Tabuaço
117:1820:Tarouca
11:118:Alto Trás-os-Montes
118:0401:Alfândega da Fé
118:0402:Bragança
118:0405:Macedo de Cavaleiros
118:0406:Miranda do Douro
118:0407:Mirandela
118:0406:Mogadouro
118:0411:Vimoso
118:0412:Vinhais
118:1702:Boticas
118:1703:Chaves
118:1706:Montalegre
118:1707:Murça
118:1712:Valpaços
118:1713:Vila Pouca de Aguiar
